Year,Week,Rank,Team
2005,1,1,USC
2005,1,2,Texas
2005,1,3,Tennessee
2005,1,4,Michigan
2005,1,5,LSU
2005,1,6,Ohio State
2005,1,7,Oklahoma
2005,1,8,Virginia Tech
2005,1,9,Miami
2005,1,10,Florida
2005,1,11,Iowa
2005,1,12,Louisville
2005,1,13,Georgia
2005,1,14,Florida State
2005,1,15,Purdue
2005,1,16,Auburn
2005,1,17,Texas A&M;
2005,1,18,Boise State
2005,1,19,California
2005,1,20,Arizona State
2005,1,21,Texas Tech
2005,1,22,Boston College
2005,1,23,Pittsburgh
2005,1,24,Fresno State
2005,1,25,Virginia
2005,2,1,USC
2005,2,2,Texas
2005,2,3,Michigan
2005,2,4,Ohio State
2005,2,5,LSU
2005,2,6,Tennessee
2005,2,7,Virginia Tech
2005,2,8,Iowa
2005,2,9,Georgia
2005,2,10,Florida
2005,2,11,Florida State
2005,2,12,Louisville
2005,2,13,Purdue
2005,2,14,Miami
2005,2,15,Arizona State
2005,2,16,California
2005,2,17,Georgia Tech
2005,2,18,Oklahoma
2005,2,19,Boston College
2005,2,20,Notre Dame
2005,2,21,Texas Tech
2005,2,22,TCU
2005,2,23,Virginia
2005,2,24,Fresno State
2005,2,25,Clemson
2005,3,1,USC
2005,3,2,Texas
2005,3,3,LSU
2005,3,4,Virginia Tech
2005,3,5,Tennessee
2005,3,6,Florida
2005,3,7,Georgia
2005,3,8,Florida State
2005,3,9,Ohio State
2005,3,10,Notre Dame
2005,3,11,Louisville
2005,3,12,Purdue
2005,3,13,Miami
2005,3,14,Michigan
2005,3,15,California
2005,3,16,Georgia Tech
2005,3,17,Boston College
2005,3,18,Arizona State
2005,3,19,Texas Tech
2005,3,20,Clemson
2005,3,21,Oklahoma
2005,3,22,Iowa
2005,3,23,Fresno State
2005,3,24,Iowa State
2005,3,25,Virginia
2005,4,1,USC
2005,4,2,Texas
2005,4,3,LSU
2005,4,4,Virginia Tech
2005,4,5,Florida
2005,4,6,Florida State
2005,4,7,Georgia
2005,4,8,Ohio State
2005,4,9,Louisville
2005,4,10,Tennessee
2005,4,11,Purdue
2005,4,12,Miami
2005,4,13,California
2005,4,14,Michigan
2005,4,15,Georgia Tech
2005,4,16,Notre Dame
2005,4,17,Michigan State
2005,4,18,Arizona State
2005,4,19,Texas Tech
2005,4,20,Alabama
2005,4,21,Iowa
2005,4,22,Iowa State
2005,4,23,Virginia
2005,4,24,Oregon
2005,4,25,UCLA
2005,5,1,USC
2005,5,2,Texas
2005,5,3,Virginia Tech
2005,5,4,LSU
2005,5,5,Florida
2005,5,6,Florida State
2005,5,7,Georgia
2005,5,8,Ohio State
2005,5,9,Miami
2005,5,10,Tennessee
2005,5,11,Michigan State
2005,5,12,California
2005,5,13,Notre Dame
2005,5,14,Arizona State
2005,5,15,Alabama
2005,5,16,Texas Tech
2005,5,17,Wisconsin
2005,5,18,Minnesota
2005,5,19,Virginia
2005,5,20,UCLA
2005,5,21,Boston College
2005,5,22,Purdue
2005,5,23,Iowa State
2005,5,24,Louisville
2005,5,25,Georgia Tech
2005,6,1,USC
2005,6,2,Texas
2005,6,3,Virginia Tech
2005,6,4,Florida State
2005,6,5,Georgia
2005,6,6,Ohio State
2005,6,7,Alabama
2005,6,8,Tennessee
2005,6,9,Miami
2005,6,10,California
2005,6,11,LSU
2005,6,12,Notre Dame
2005,6,13,Florida
2005,6,14,Wisconsin
2005,6,15,Texas Tech
2005,6,16,Penn State
2005,6,17,Arizona State
2005,6,18,Boston College
2005,6,19,Michigan State
2005,6,20,UCLA
2005,6,21,Michigan
2005,6,22,Auburn
2005,6,23,Louisville
2005,6,24,Georgia Tech
2005,6,25,Oregon
2005,7,1,USC
2005,7,2,Texas
2005,7,3,Virginia Tech
2005,7,4,Florida State
2005,7,5,Georgia
2005,7,6,Alabama
2005,7,7,Miami
2005,7,8,Penn State
2005,7,9,Notre Dame
2005,7,10,LSU
2005,7,11,Florida
2005,7,12,UCLA
2005,7,13,Texas Tech
2005,7,14,Boston College
2005,7,15,Ohio State
2005,7,16,Michigan State
2005,7,17,Tennessee
2005,7,18,California
2005,7,19,Louisville
2005,7,20,Oregon
2005,7,21,Auburn
2005,7,22,Minnesota
2005,7,23,Wisconsin
2005,7,24,Colorado
